V,V1,V2
475,72,3644
476,72,3737
477,72,3771
478,72,3830
479,72,3879
480,73,222
481,73,857
482,73,1254
483,73,1654
484,73,2502
485,74,120
486,74,3178
487,74,3717
488,74,3765
489,74,3914
490,75,813
491,75,1665
492,75,2465
493,75,3499
494,76,266
495,76,279
496,76,395
497,76,812
498,76,1017
499,76,1076
500,76,1316
501,76,1332
502,76,1595
503,76,2169
504,76,2668
505,77,1914
506,77,3412
507,78,145
508,78,247
509,78,393
510,78,452
511,78,587
512,78,687
513,78,764
514,78,873
515,78,1136
516,78,1204
517,78,1319
518,78,1497
519,78,1563
520,78,1597
521,78,1902
522,78,1913
523,78,1970
524,78,1972
525,78,2130
526,78,2153
527,78,2381
528,78,2768
529,78,2777
530,78,3064
531,78,3172
532,78,3226
533,78,3690
534,78,3691
535,78,3870
536,79,178
537,79,1806
538,79,2017
539,79,2088
540,79,2284
541,79,3435
542,80,698
543,80,1389
544,80,1545
545,80,1567
546,80,1589
547,80,3671
548,81,230
549,81,323
550,81,339
551,81,419
552,81,472
553,81,503
554,81,541
555,81,564
556,81,582
557,81,597
558,81,611
559,81,635
560,81,638
561,81,782
562,81,795
563,81,822
564,81,843
565,81,848
566,81,882
567,81,905
568,81,975
569,81,1059
570,81,1142
571,81,1162
572,81,1339
573,81,1356
574,81,1421
575,81,1505
576,81,1619
577,81,1656
578,81,1731
579,81,1733
580,81,1740
581,81,1807
582,81,1882
583,81,2012
584,81,2093
585,81,2143
586,81,2194
587,81,2374
588,81,2543
589,81,2573
590,81,2581
591,81,2603
592,81,2663
593,81,2741
594,81,2776
595,81,2862
596,81,2879
597,81,2903
598,81,3010
599,81,3078
600,81,3080
601,81,3138
602,81,3141
603,81,3171
604,81,3216
605,81,3270
606,81,3273
607,81,3431
608,81,3433
609,81,3466
610,81,3470
611,81,3479
612,81,3592
613,81,3704
614,81,3785
615,81,3812
616,81,3839
617,81,3907
618,81,3914
619,82,1446
620,83,590
621,83,609
622,83,2635
623,84,1027
624,85,1058
625,86,728
626,86,777
627,86,1327
628,86,1836
629,86,1844
630,86,2003
631,86,2034
632,86,2073
633,86,2084
634,86,3123
635,86,3199
636,86,3219
637,86,3229
638,86,3553
639,86,3566
640,86,4008
641,86,4046
642,87,3373
643,88,778
644,88,991
645,88,1714
646,88,1896
647,88,2215
648,88,2405
649,88,2757
650,88,3373
651,89,259
652,89,505
653,89,515
654,89,914
655,89,1479
656,89,2109
657,89,2795
658,89,3371
659,89,4040
660,90,685
661,91,1654
662,92,986
663,92,1081
664,92,1161
665,92,3680
666,93,323
667,93,795
668,93,1375
669,93,1472
670,93,2113
671,93,3570
672,94,96
673,94,196
674,94,197
675,94,306
676,94,661
677,94,762
678,94,1859
679,94,2883
680,94,3241
681,94,3302
682,94,3536
683,94,4091
684,95,281
685,95,1665
686,95,2564
687,95,3054
688,96,196
689,96,197
690,96,306
691,96,661
692,96,762
693,96,1859
694,96,2883
695,96,3241
696,96,3302
697,96,3536
698,96,4091
699,97,178
700,97,746
701,97,1245
702,97,1806
703,97,2017
704,97,2088
705,97,2284
706,97,3256
707,98,3433
708,99,323
709,99,390
710,99,795
711,99,1292
712,99,4089
713,100,2759
714,101,2543
715,102,487
716,102,808
717,102,1134
718,102,1613
719,102,1822
720,102,2512
721,102,2517
722,102,2628
723,102,2727
724,102,2871
725,102,2899
726,102,2901
727,102,3035
728,102,3144
729,102,3149
730,102,3271
731,102,3744
732,103,104
733,103,825
734,103,894
735,103,976
736,103,979
737,103,2809
738,103,3480
739,104,825
740,104,894
741,104,976
742,104,979
743,104,2809
744,104,3285
745,104,3480
746,105,1198
747,105,1845
748,106,472
749,106,582
750,106,960
751,106,1984
752,106,2543
753,106,2913
754,107,635
755,108,1134
756,108,2628
757,108,3035
758,108,3149
759,108,3744
760,109,242
761,109,247
762,109,273
763,109,284
764,109,373
765,109,383
766,109,479
767,109,511
768,109,602
769,109,609
770,109,753
771,109,764
772,109,811
773,109,824
774,109,873
775,109,920
776,109,1057
777,109,1136
778,109,1197
779,109,1331
780,109,1382
781,109,1491
782,109,1542
783,109,1588
784,109,1613
785,109,1627
786,109,1628
787,109,1677
788,109,1712
789,109,1766
790,109,1892
791,109,2091
792,109,2134
793,109,2232
794,109,2339
795,109,2468
796,109,2532
797,109,2555
798,109,2581
799,109,2712
800,109,2717
801,109,2803
802,109,3013
803,109,3187
804,109,3271
805,109,3288
806,109,3443
807,109,3446
808,109,3460
809,109,3740
810,109,3800
811,109,3843
812,109,3870
813,109,3935
814,110,624
815,110,630
816,110,669
817,110,718
818,110,751
819,110,1608
820,110,1726
821,110,1957
822,110,2295
823,110,2387
824,110,2655
825,110,3242
826,110,3474
827,110,3919
828,110,3982
829,111,372
830,111,1654
831,112,174
832,112,269
833,112,292
834,112,361
835,112,775
836,112,1089
837,112,1399
838,112,1401
839,112,1692
840,112,1720
841,112,2114
842,112,2992
843,112,3316
844,112,3455
845,112,3661
846,112,3681
847,112,3809
848,112,3855
849,112,3955
850,112,3956
851,112,3959
852,112,3961
853,112,3965
854,112,3966
855,112,3979
856,113,1028
857,113,1032
858,114,401
859,114,1599
860,114,1977
861,114,2007
862,114,2237
863,114,2760
864,114,3131
865,114,3942
866,115,3379
867,116,2345
868,117,3433
869,118,145
870,118,299
871,118,776
872,118,841
873,118,982
874,118,1058
875,118,1259
876,118,1459
877,118,1562
878,118,1680
879,118,1796
880,118,1949
881,118,2099
882,118,2149
883,118,2275
884,118,2296
885,118,2342
886,118,2441
887,118,2454
888,118,2455
889,118,2638
890,118,2714
891,118,2792
892,118,2811
893,118,2933
894,118,3083
895,118,3156
896,118,3232
897,118,3277
898,118,3286
899,118,3300
900,118,3369
901,118,3456
902,118,3687
903,118,3774
904,118,3876
905,118,3940
906,118,3983
907,118,4109
908,119,136
909,119,264
910,119,297
911,119,305
912,119,329
913,119,339
914,119,355
915,119,394
916,119,599
917,119,653
918,119,822
919,119,881
920,119,984
921,119,998
922,119,1108
923,119,1109
924,119,1235
925,119,1302
926,119,1393
927,119,1446
928,119,1448
929,119,1718
930,119,1908
931,119,1910
932,119,1959
933,119,1968
934,119,1996
935,119,2129
936,119,2211
937,119,2228
938,119,2254
939,119,2305
940,119,2340
941,119,2390
942,119,2396
943,119,2424
944,119,2543
945,119,2631
946,119,2676
947,119,2903
948,119,2938
949,119,3061
950,119,3263
951,119,3294
952,119,3433
953,119,3586
954,119,3592
955,119,3630
956,119,3646
957,119,3774
958,119,3786
959,119,3807
960,119,3888
961,119,3940
962,120,3178
963,120,3765
964,120,3914
965,121,211
966,121,691
967,121,779
968,121,842
969,121,1070
970,121,1577
971,121,1600
972,121,1649
973,121,1791
974,121,1969
975,121,2050
976,121,2089
977,121,2281
978,121,2617
979,121,2832
980,121,3136
981,121,3283
982,121,3836
983,121,3888
984,122,305
985,123,135
986,123,138
987,123,709
988,123,765
989,123,997
990,123,1299
991,123,1668
992,123,2285
993,123,2389
994,123,2426
995,123,2607
996,123,2962
997,123,3304
998,123,3667
999,123,3805
1000,123,3852
1001,123,3884
1002,124,2070
1003,125,289
1004,125,357
1005,125,818
1006,125,1837
1007,125,2158
1008,125,2345
1009,125,2790
1010,125,2873
1011,125,2903
1012,125,2911
1013,125,3076
1014,125,3263
1015,125,3630
1016,125,3990
1017,126,3988
1018,127,2543
1019,128,984
1020,128,1168
1021,129,1490
1022,129,1657
1023,129,1773
1024,129,2681
1025,129,2866
1026,129,3244
1027,129,3378
1028,129,3379
1029,129,3646
1030,129,3770
1031,130,286
1032,130,1773
1033,130,3671
1034,130,4010
1035,131,1889
1036,132,382
1037,132,831
1038,132,983
1039,132,1087
1040,132,1147
1041,132,1975
1042,132,1986
1043,132,2037
1044,132,3024
1045,132,3065
1046,132,3771
1047,133,3433
1048,134,334
1049,134,1062
1050,134,2887
1051,134,3233
1052,134,3416
1053,135,709
1054,135,997
1055,135,1299
1056,135,1668
1057,135,2285
1058,135,2426
1059,135,2607
1060,135,2962
1061,135,3805
1062,136,138
1063,136,339
1064,136,881
1065,136,998
1066,136,1173
1067,136,1302
1068,136,1448
1069,136,1685
1070,136,2925
1071,136,3294
1072,136,3433
1073,136,3807
1074,137,217
1075,137,337
1076,137,602
1077,137,1382
1078,137,1696
1079,137,2468
1080,137,2717
1081,137,2803
1082,137,3476
1083,137,3505
1084,138,355
1085,138,518
1086,138,747
1087,138,765
1088,138,881
1089,138,1023
1090,138,1192
1091,138,1917
1092,138,2244
1093,138,2426
1094,138,2442
1095,138,2461
1096,138,2714
1097,138,2843
1098,138,2925
1099,138,2962
1100,138,3247
1101,138,3254
1102,138,3433
1103,138,3724
1104,138,3876
1105,138,3940
1106,139,191
1107,139,209
1108,139,335
1109,139,437
1110,139,501
1111,139,627
1112,139,954
1113,139,2141
1114,139,2267
1115,139,2289
1116,139,2844
1117,139,2867
1118,139,3606
1119,139,3778
1120,139,3951
1121,140,1917
1122,140,3724
1123,141,345
1124,141,719
1125,141,1090
1126,141,1694
1127,141,2758
1128,141,2993
1129,142,668
1130,143,1541
1131,143,2124
1132,144,617
1133,144,1337
1134,144,1637
1135,144,2087
1136,144,2184
1137,144,2366
1138,144,2725
1139,144,2821
1140,145,264
1141,145,290
1142,145,305
1143,145,489
1144,145,533
1145,145,587
1146,145,618
1147,145,682
1148,145,685
1149,145,701
1150,145,747
1151,145,817
1152,145,946
1153,145,1058
1154,145,1313
1155,145,1389
1156,145,1446
1157,145,1489
1158,145,1589
1159,145,2036
1160,145,2147
1161,145,2265
1162,145,2296
1163,145,2345
1164,145,2389
1165,145,2442
1166,145,2454
1167,145,2464
1168,145,2686
1169,145,2851
1170,145,2877
1171,145,2962
1172,145,3072
1173,145,3151
1174,145,3263
1175,145,3346
1176,145,3367
1177,145,3493
1178,145,3687
1179,145,3774
1180,145,3876
1181,145,3940
1182,146,181
1183,146,238
1184,146,289
1185,146,664
1186,146,818
1187,146,1015
1188,146,1878
1189,146,1933
1190,146,1976
1191,146,1993
1192,146,2182
1193,146,2183
1194,146,2372
1195,146,3458
1196,146,3953
1197,147,685
1198,148,1146
1199,148,1651
1200,148,1985
1201,148,2191
1202,148,4016
1203,148,4037
1204,149,1654
1205,150,1221
1206,150,2004
1207,150,2432
1208,150,2581
1209,150,2842
1210,150,2905
1211,150,3478
1212,150,3479
1213,150,3547
1214,150,3636
1215,151,2006
1216,152,446
1217,152,538
1218,152,833
1219,152,1300
1220,152,1351
1221,152,1580
1222,152,2506
1223,152,2508
1224,152,2735
1225,152,2736
1226,152,3457
1227,152,3732
1228,152,3745
1229,152,3782
1230,153,175
1231,153,742
1232,153,747
1233,153,2152
1234,153,2903
1235,153,3367
1236,153,4022
1237,154,451
1238,154,530
1239,154,767
1240,154,915
1241,154,1158
1242,154,1395
1243,154,1466
1244,154,2064
1245,154,2109
1246,154,2522
1247,154,3251
1248,154,3252
1249,154,3489
1250,154,3491
1251,155,3199
1252,156,286
1253,156,565
1254,156,1817
1255,156,2443
1256,157,2357
1257,157,2628
1258,157,3031
1259,158,284
1260,158,517
1261,158,609
1262,158,611
1263,158,753
1264,158,843
1265,158,2232
1266,158,2772
1267,158,3271
1268,159,176
1269,159,756
1270,159,3074
1271,159,3119
1272,160,815
1273,160,1549
1274,160,3577
1275,160,3675
1276,160,4084
1277,161,294
1278,161,327
1279,161,1154
1280,161,1655
1281,161,2412
1282,161,3094
1283,161,3113
1284,161,3173
1285,162,530
1286,162,616
1287,162,1155
1288,162,1224
1289,163,1761
1290,163,2312
